photo_id,tags,geolocation,date_taken,date_posted,views,locale,county,region,url
8333906443,"[u'instagram app', u'square', u'square format', u'iphoneography']","[37.763796, -122.466332]",1/1/13 13:53,1357069981,1,"[u'San Francisco', u'7.MJR8tTVrIO1EgB']","[u'San Francisco', u'.7sOmlRQUL9nK.kMzA']","[u'California', u'NsbUWfBTUb4mbyVu']",http://www.flickr.com/photos/mister_marken/8333906443/
8333962567,"[u'B1GCATS', u'EverBank Field', u'Famous Maroon Band', u'Florida', u'Gator Bowl', u'Jacksonville', u'JaxCats', u'Mississippi State', u'Mississippi State University', u'Music', u'arena', u'band', u'bowl game', u'college', u'football', u'performance', u'stadium', u'students', u'university', u'United States']","[30.323908, -81.637331]",1/1/13 11:51,1357070887,636,"[u'Jacksonville', u'W3AzQ7ZTVrgdL9zT']","[u'Duval', u'hUzY8J5QUL93JWwcKw']","[u'Florida', u'IPbJb2lTUb4Y7tKw']",http://www.flickr.com/photos/nubands/8333962567/
8333972849,"[u'Portland', u'PDX', u'Portland, Oregon', u'Portland, OR', u'frost', u'Explore', u'Explored', u'snapseed']","[45.590182, -122.757496]",1/1/13 11:27,1357070984,132,"[u'Portland', u'Oc0MVktTVr1JQ7P5']","[u'Multnomah', u'f.DxheVQUL_EJ3Lt7Q']","[u'Oregon', u'nWffZiZTUb4mWuFa']",http://farm9.staticflickr.com/8072/8333972849_bb85d7f1a5_o.jpg
8334032145,"[u'Wichita Mountains', u'Larry Smith', u'Oklahoma', u'Burford Lake']","[34.719233, -98.673491]",1/1/13 8:27,1357071886,451,,,"[u'Oklahoma', u'UE96S1pTUb7hScsy']",http://www.flickr.com/photos/lsmith2010/8334032145/
8334057430,"[u'Fat', u'Mum', u'Slim', u'instagram app', u'square', u'square format', u'iphoneography', u'Lo-fi', u'wildlife', u'rabbit', u'snow', u'tracks', u'winter']","[43.982028, -77.095878]",1/1/13 10:50,1357055457,19,"[u'Milford', u'VCDcVGZTUbmwf0BvVQ']","[u'Prince Edward', u'Upex8F1TW7nru_KbKQ']","[u'Ontario', u'KAOZv3VTUb6vc1Fc']",http://farm9.staticflickr.com/8073/8334057430_7dd1fd7457_o.jpg
8334068203,"[u'Hipstamatic', u'iphone', u'Pasadena', u'float', u'parade', u'2013', u'Tournament of Roses', u'Rose Parade', u'new years day']","[34.145833, -118.1155]",1/1/13 10:49,1357072387,92,"[u'Pasadena', u'og8iE2VTVrwEveVK']","[u'Los Angeles', u'.D8LiGdQUL_LN4aBcw']","[u'California', u'NsbUWfBTUb4mbyVu']",http://www.flickr.com/photos/estebanandjulie/8334068203/
8334104210,"[u'Film', u'Color', u'Analog', u'120', u'Negative', u'6x6', u'Medium Format', u'Rolleiflex F', u'Zeiss', u'Planar', u'75mm', u'f/3.5', u'Fuji', u'Fujicolor Pro 400H', u'ISO 400', u'NYC', u'Bronx', u'South Bronx', u'Mott Haven', u'Walls', u'Overpass', u'Markings', u'Traffic Cone', u'With Ryk & Andre', u'Epson Perfection V700']","[40.802196, -73.916637]",1/1/13 11:03,1357058381,981,"[u'New York', u'.skCPTpTVr.Q3WKW']","[u'Bronx', u'yZHGAbhQUL9hc.wH2Q']","[u'New York', u'ODHTuIhTUb75gdBu']",http://www.flickr.com/photos/josephx/8334104210/
8334104267,"[u'instagram app', u'square', u'square format', u'iphoneography', u'NYC', u'NewYork', u'Manhattan', u'Harlem', u'Apollo', u'Apollo Theatre', u'Jazz', u'Dreamgirls', u'rain', u'street', u'cars', u'Chrisshots', u'USA', u'America', u'love', u'travel', u'architecture', u'253 W 125 S', u'bestcapturesaoi']","[40.810008, -73.950358]",1/1/13 21:42,1357072932,444,"[u'New York', u'.skCPTpTVr.Q3WKW']","[u'Manhattan', u'eFEYI5ZQUL_VqqpXvg']","[u'New York', u'ODHTuIhTUb75gdBu']",http://farm9.staticflickr.com/8351/8334104267_296faeebfd_o.jpg
8334105878,[u'mfcc'],"[46.051358, -71.961436]",1/1/13 9:27,1357056286,333,"[u'Victoriaville', u'PS2f.yhSVrOY']","[u'Arthabaska', u'4GnTVvBTW7kfE2Hahg']","[u'Quebec', u'dSpA1ldTUb7syPFr']",http://www.flickr.com/photos/guysamson/8334105878/
8334115289,"[u'instagram app', u'square', u'square format', u'iphoneography', u'Hudson']","[38.932562, -77.032785]",1/1/13 15:44,1357073092,18,"[u'Washington', u'aKGrC25TV7vTJcir']","[u'District of Columbia', u'r7KcVlZQUL8J2lfjCQ']","[u'District of Columbia', u'.9.rXhhTUb5eYUuK']",http://farm9.staticflickr.com/8491/8334115289_df3177183a_o.jpg
